the_geom,OBJECTID,New Market Tax Credit
,30,Yes
,27,Yes
,29,Yes
,15,Yes
,75,Yes
,38,Yes
,68,Yes
,22,Yes
,74,Yes
,104,Yes
,76,Yes
,16,Yes
,52,Yes
,26,Yes
,100,Yes
,73,Yes
,6,Yes
,111,Yes
,32,Yes
,54,Yes
,21,Yes
,117,Yes
,44,Yes
,23,Yes
,37,Yes
,11,Yes
,47,Yes
,101,Yes
,106,Yes
,107,Yes
,9,Yes
,20,Yes
,83,Yes
,34,Yes
,80,Yes
,59,Yes
,88,Yes
,77,Yes
,115,Yes
,109,Yes
,35,Yes
,25,Yes
,79,Yes
,96,Yes
,90,Yes
,28,Yes
,57,Yes
,31,Yes
,4,Yes
,64,Yes
,113,Yes
,116,Yes
,50,Yes
,102,Yes
,17,Yes
,63,Yes
,86,Yes
,71,Yes
,118,Yes
,19,Yes
,39,Yes
,87,Yes
,56,Yes
,67,Yes
,53,Yes
,66,Yes
,97,Yes
,58,Yes
,114,Yes
,55,Yes
,41,Yes
,1,Yes
,10,Yes
,48,Yes
,81,Yes
,99,Yes
,2,Yes
,95,Yes
,33,Yes
,45,Yes
,91,Yes
,65,Yes
,42,Yes
,43,Yes
,84,Yes
,94,Yes
,110,Yes
,82,Yes
,49,Yes
,78,Yes
,13,Yes
,93,Yes
,119,Yes
,112,Yes
,70,Yes
,3,Yes
,24,Yes
,89,Yes
,51,Yes
,103,Yes
,98,Yes
,5,Yes
,18,Yes
,69,Yes
,108,Yes
,61,Yes
,8,Yes
,7,Yes
,62,Yes
,14,Yes
,46,Yes
,105,Yes
,92,Yes
,60,Yes
,85,Yes
,12,Yes
,40,Yes
,72,Yes
,36,Yes
